Canonical_SMILES,Temperature (K),log_visc
Br/C=C\Br,274.01,0.085290578
Br/C=C\Br,284.1,0.029383778
Br/C=C\Br,293.08,-0.017728767
Br/C=C\Br,303.29,-0.066006836
Br/C=C\Br,312.64,-0.106793247
Br/C=C\Br,320.95,-0.141462802
Br/C=C\Br,331.11,-0.181114585
Br/C=C\Br,340.34,-0.214670165
Br/C=C\Br,349.87,-0.247951552
Br/C=C\Br,359.1,-0.279840697
Br/C=C\Br,370.25,-0.316052869
Br/C=C\Br,378.87,-0.342944147
BrBr,268.85,0.117602692
BrBr,270.55,0.109578547
BrBr,278.05,0.06595298
BrBr,280.15,0.055378331
BrBr,285.75,0.029789471
BrBr,286.75,0.024485668
BrBr,292.25,0.001300933
BrBr,300.15,-0.033858267
BrBr,304.55,-0.045275209
BrC(Br)Br,279.55,0.376759395
BrC(Br)Br,283.15,0.345765693
BrC(Br)Br,288.15,0.332842267
BrC(Br)Br,303.15,0.240798771
BrC(Br)Br,349.65,0.003891166
BrC(Br)C(Br)Br,284.15,1.130333768
BrC(Br)C(Br)Br,293.15,0.991093108
BrCBr,288.15,0.037426498
BrCCBr,282.64,0.312388949
BrCCBr,293.78,0.229937686
BrCCBr,304.36,0.159867847
BrCCBr,313.15,0.109240969
BrCCBr,314.79,0.097604329
BrCCBr,324.96,0.040997692
BrCCBr,336.02,-0.014573526
BrCCBr,346.63,-0.064492734
BrCCBr,359.12,-0.118045029
BrCCBr,368.96,-0.15864053
BrCCBr,378.86,-0.197910742
BrCCBr,390.16,-0.238824187
BrCCBr,399.86,-0.274088368
BrCCCBr,298.15,0.254548077
Brc1ccccc1,273.25,0.196728723
Brc1ccccc1,279.05,0.159867847
Brc1ccccc1,283.25,0.124504225
Brc1ccccc1,288.15,0.07773118
Brc1ccccc1,291.15,0.068185862
Brc1ccccc1,291.35,0.068556895
Brc1ccccc1,293.15,0.050766311
Brc1ccccc1,301.45,0.009875634
Brc1ccccc1,303.15,-0.00656377
Brc1ccccc1,316.75,-0.074687909
Brc1ccccc1,334.55,-0.15864053
Brc1ccccc1,344.35,-0.203425667
Brc1ccccc1,353.85,-0.237321436
Brc1ccccc1,364.15,-0.279014256
Brc1ccccc1,375.35,-0.314258261
Brc1ccccc1,384.85,-0.351639989
Brc1ccccc1,394.85,-0.379863945
C#CCCCCCC,298.15,-0.18243463
C#CCO,293.15,0.225309282
C#Cc1ccccc1,298.15,-0.052566278
C#N,265.65,-0.586700236
C#N,278.15,-0.634512015
C#N,283.95,-0.661543506
C#N,288.25,-0.675717545
C#N,293.35,-0.696803943
C/C=C/C=O,298.15,-0.283996656
C/C=C/c1ccc(O)c(OC)c1,298.15,0.428134794
C/C=C/c1ccc2c(c1)OCO2,298.15,0.602059991
C/C=C\CC,293.1,-0.677780705
C/C=C\CC,298.1,-0.698970004
C/C=C\CC,303.1,-0.721246399
C/C=C\CC,308.1,-0.744727495
C1=CC2C3C=CC(C3)C2C1,294.26,-0.133122186
C1=CC=CC=CC=C1,293.1,0.136720567
C1=CC=CC=CC=C1,298.1,0.096910013
C1=CC=CC=CC=C1,303.1,0.06069784
C1=CC=CC=CC=C1,313.1,-0.008773924
