SMILES,CANON_SMILES,MolecularFormula,MolecularWeight,Exp_logp
C[C@H]([C@@H](C)Cl)Cl,C[C@@H](Cl)[C@@H](C)Cl,C4H8Cl2,127.014,2.3
C(C=CBr)N,NCC=CBr,C3H6BrN,135.992,0.3
CCC(CO)Br,CCC(Br)CO,C4H9BrO,153.019,1.3
[13CH3][13CH2][13CH2][13CH2][13CH2][13CH2]O,[13CH3][13CH2][13CH2][13CH2][13CH2][13CH2]O,C6H14O,108.131129,2
CCCOCCP,CCCOCCP,C5H13OP,120.132,0.6
C(C(F)(F)F)F,FCC(F)(F)F,C2H2F4,102.03,1.7
[2H]C([2H])C(C)(C)Cl,[2H]C([2H])C(C)(C)Cl,C4H9Cl,94.58120356,1.8
CCCC(CI)O,CCCC(O)CI,C5H11IO,214.046,2
CCCCCC[CH+]C,C[CH+]CCCCCC,C8H17+,113.224,3.9
C(CO)NCCO,OCCNCCO,C4H11NO2,105.137,-1.4
CCCCP(C)P,CCCCP(C)P,C5H14P2,136.115,1.1
C(O)OOOCO,OCOOOCO,C2H6O5,110.065,-1
C1CC1CCP,PCCC1CC1,C5H11P,102.117,1.4
COCCC(Cl)Cl,COCCC(Cl)Cl,C4H8Cl2O,143.013,1.8
[2H]C1=CSC=C1[2H],[2H]c1cscc1[2H],C4H4S,86.15520356,1.8
CCCCCl,CCCCCl,C4H9Cl,92.569,2.6
C(=O)C(N)Br,NC(Br)C=O,C2H4BrNO,137.964,-0.3
C(=S)(S)[S-],S=C([S-])S,CHS3-,109.22,1.5
C(C(CBr)S)Br,SC(CBr)CBr,C3H6Br2S,233.956,2.1
CCSCCCCN,CCSCCCCN,C6H15NS,133.26,1
CC(C)C(C)O,CC(C)C(C)O,C5H12O,88.15,1.3
CCCOC(C)N,CCCOC(C)N,C5H13NO,103.165,0.6
CCC[I-]I,CCC[I-]I,C3H7I2-,296.897,3.5
CC[CH]CC(C)CC,CC[CH]CC(C)CC,C8H17,113.224,4.3
CN(C)CCCBr,CN(C)CCCBr,C5H12BrN,166.062,1.4
C(CO)COS,OCCCOS,C3H8O2S,108.162,0.2
CC(C)NCCl,CC(C)NCCl,C4H10ClN,107.584,1.3
C=CC(P)P,C=CC(P)P,C3H8P2,106.045,0.4
COCCl,COCCl,C2H5ClO,80.514,0.8
C(SF)SF,FSCSF,CH2F2S2,116.157,1.9
CC(=S)P,CC(P)=S,C2H5PS,92.103,0.3
C[I-]CON,C[I-]CON,C2H7INO-,187.988,0.7
CCC[C@@H](CN)N,CCC[C@H](N)CN,C5H14N2,102.181,-0.3
C(F)(F)(S)Cl,FC(F)(S)Cl,CHClF2S,118.535,2
CC(CO)SO,CC(CO)SO,C3H8O2S,108.162,-0.3
CC(=C)CCl,C=C(C)CCl,C4H7Cl,90.553,2.1
CCI(C)NC,CCI(C)NC,C4H12IN,201.051,1.6
C(=S)(S)I,S=C(S)I,CHIS2,204.057,1.8
[2H]C(C(C)(C)C)N,[2H]C(N)C(C)(C)C,C5H13N,88.17210178,1
CC(C(F)F)F,CC(F)C(F)F,C3H5F3,98.067,1.9
C(CP)CP,PCCCP,C3H10P2,108.061,-0.1
C[C@H](CNC)OC,CNC[C@@H](C)OC,C5H13NO,103.165,0.1
C(N)(S)S,NC(S)S,CH5NS2,95.192,0.1
COOOBr,COOOBr,CH3BrO3,142.936,1.1
C(CS)CBr,SCCCBr,C3H7BrS,155.06,1.6
CC=PP,CC=PP,C2H6P2,92.018,-1.1
CCC(C)CCF,CCC(C)CCF,C6H13F,104.168,2.8
CCCNP(C)C,CCCNP(C)C,C5H14NP,119.148,0.6
C(N)(N)NP,NC(N)NP,CH8N3P,93.07,-2
C[C@H](CCN)CO,C[C@@H](CO)CCN,C5H13NO,103.165,-0.2
C(CSCCCl)N,NCCSCCCl,C4H10ClNS,139.651,0.5
C1CSSS1,C1CSSS1,C2H4S3,124.255,1.1
CCC(NC)Cl,CCC(Cl)NC,C4H10ClN,107.584,1.4
C(CC=S)CO,OCCCC=S,C4H8OS,104.174,-0.1
COCCNPF,COCCNPF,C3H9FNOP,125.083,0.1
[2H]C([2H])([2H])C(C)(C)CO,[2H]C([2H])([2H])C(C)(C)CO,C5H12O,91.16830533,1.3
[2H]C(P([3H])C)I,[2H]C(I)P([3H])C,C2H6IP,190.9621511,0.7
[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])CO,[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])CO,C4H10O,81.16571245,0.9
C1CC1OI,IOC1CC1,C3H5IO,183.976,1.5
C([C@H](F)Br)O,OC[C@H](F)Br,C2H4BrFO,142.955,0.8
CS(N)(Cl)Cl,CS(N)(Cl)Cl,CH5Cl2NS,134.031,1.7
[CH]C[C@H](CO)O,[CH]C[C@@H](O)CO,C4H8O2,88.106,-0.2
CNCCN(C)N,CNCCN(C)N,C4H13N3,103.169,-0.9
C(OS)OSI,SOCOSI,CH3IO2S2,238.071,1.8
C(P)P=O,O=PCP,CH4OP2,93.99,-1
CC(C)N(F)F,CC(C)N(F)F,C3H7F2N,95.092,1.2
CCC(C)OCO,CCC(C)OCO,C5H12O2,104.149,0.8
CC(F)(F)Br,CC(F)(F)Br,C2H3BrF2,144.946,2.1
C[S+](C)CCO,C[S+](C)CCO,C4H11OS+,107.198,0.2
[2H]C([2H])(C)CI,[2H]C([2H])(C)CI,C3H7I,172.0052036,2.6
C(O)OOC=O,O=COOCO,C2H4O4,92.05,-0.4
C(OOSF)F,FCOOSF,CH2F2O2S,116.088,1.5
CC(C=C)S,C=CC(C)S,C4H8S,88.175,1.6
CCC(C)CC[NH3+],CCC(C)CC[NH3+],C6H16N+,102.201,1.5
CC(C)CCOCl,CC(C)CCOCl,C5H11ClO,122.595,2.6
CN(C)NN(C)C,CN(C)NN(C)C,C4H13N3,103.169,0.3
CCCCOC,CCCCOC,C5H12O,88.15,1.7
CSOSS,CSOSS,CH4OS3,128.243,1.4
C[NH2+]/C=C\S,C[NH2+]/C=C\S,C3H8NS+,90.171,0.6
CCCCCC[CH]C,C[CH]CCCCCC,C8H17,113.224,3.9
CCC(C)[CH+]C,C[CH+]C(C)CC,C6H13+,85.17,3.2
C1CO[PH2+]C1,C1CO[PH2+]C1,C3H8OP+,91.07,0.1
CCC(CO)S,CCC(S)CO,C4H10OS,106.19,0.8
C=II,C=II,CH2I2,267.835,2.3
C1C(CO1)Cl,ClC1COC1,C3H5ClO,92.525,0.5
[2H]C(CCO)CO,[2H]C(CO)CCO,C4H10O2,91.12810178,-0.8
CNC(=S)[S-],CNC(=S)[S-],C2H4NS2-,106.195,0.7
C[C@H](CS)NC,CN[C@H](C)CS,C4H11NS,105.206,0.5
C(O)OCS,OCOCS,C2H6O2S,94.135,-0.1
C[C@H](N)NI,C[C@H](N)NI,C2H7IN2,185.996,-0.3
C[C@H]([C@H](C)S)S,C[C@H](S)[C@@H](C)S,C4H10S2,122.258,1.7
C(C(CF)Cl)F,FCC(Cl)CF,C3H5ClF2,114.522,1.6
[3H]OOCCCCCC,[3H]OOCCCCCC,C6H14O2,120.1840493,1.9
C(S)[I-]S,SC[I-]S,CH4IS2-,207.081,1.8
CSCCCl,CSCCCl,C3H7ClS,110.609,1.5
CCOC(N)N,CCOC(N)N,C3H10N2O,90.126,-1.2
C=IC(S)S,C=IC(S)S,C2H5IS2,220.1,2.1
CS(=S)O,CS(O)=S,CH4OS2,96.176,2.2
CCCPCCC,CCCPCCC,C6H15P,118.16,1.7
COP(C)Cl,COP(C)Cl,C2H6ClOP,112.496,0.8
C(CN[NH3+])N[NH3+],[NH3+]NCCN[NH3+],C2H12N4+2,92.146,-2.1
CP([O-])S,CP([O-])S,CH4OPS-,95.083,-0.2
CC(C)C(I)I,CC(C)C(I)I,C4H8I2,309.916,3.3
C1CNPN1,C1CNPN1,C2H7N2P,90.066,-0.8
CCC(C)C(C)C,CCC(C)C(C)C,C7H16,100.205,3.4
CC1CC[C]C1,CC1C[C]CC1,C6H10,82.146,3.4
CCCCCOC,CCCCCOC,C6H14O,102.177,1.9
C(C(F)(F)F)O,OCC(F)(F)F,C2H3F3O,100.039,0.4
C=CNSCN,C=CNSCN,C3H8N2S,104.178,0.4
[2H]CC([2H])([2H])C([2H])([2H])C([2H])([2H])Br,[2H]CC([2H])([2H])C([2H])([2H])C([2H])([2H])Br,C4H9Br,144.0627124,2.8
COCCNCN,COCCNCN,C4H12N2O,104.153,-1.2
C[C@@H](CCCO)O,C[C@H](O)CCCO,C5H12O2,104.149,0
CCCC(CCC)Br,CCCC(Br)CCC,C7H15Br,179.101,3.6
CCCOCl,CCCOCl,C3H7ClO,94.541,1.8
CC(CCNC)Cl,CNCCC(C)Cl,C5H12ClN,121.611,1.2
CCN(C)SS,CCN(C)SS,C3H9NS2,123.246,1.6
CC(C)(C)SI,CC(C)(C)SI,C4H9IS,216.087,2.7
COCCSPO,COCCSPO,C3H9O2PS,140.144,-0.3
C(NCF)F,FCNCF,C2H5F2N,81.065,0.7
[2H]C([2H])([2H])CCCCBr,[2H]C([2H])([2H])CCCCBr,C5H11Br,154.0653053,3.4
CC(C)([CH])C[CH],[CH]CC([CH])(C)C,C6H10,82.146,3
C(F)(F)(F)SS,FC(F)(F)SS,CHF3S2,134.147,2.2
CCO[C@H](C)CO,CCO[C@H](C)CO,C5H12O2,104.149,0.2
CCC=C.CC=CC,C=CCC.CC=CC,C8H16,112.216,4.2
CCC[C@@H](C)[NH3+],CCC[C@@H](C)[NH3+],C5H14N+,88.174,1
CN(C)COO,CN(C)COO,C3H9NO2,91.11,-0.3
C(=O)(N)I,NC(=O)I,CH2INO,170.937,0
CC(C)NCCBr,CC(C)NCCBr,C5H12BrN,166.062,1.4
CCCOCCl,CCCOCCl,C4H9ClO,108.568,1.7
C([C@H](F)Cl)Cl,F[C@H](Cl)CCl,C2H3Cl2F,116.95,1.9
CCSNSC,CCSNSC,C3H9NS2,123.246,1
C[C]/C=C\[S-],C[C]/C=C\[S-],C4H5S-,85.151,1.7
CC(OC)Cl,COC(C)Cl,C3H7ClO,94.541,1.2
CCNCI=N,CCNCI=N,C3H9IN2,200.023,1.5
CCS[S-],CCS[S-],C2H5S2-,93.196,1.3
C(CPCP)PCP,PCPCCPCP,C4H14P4,186.052,-0.8
[2H]N([2H])CCCCN,[2H]N([2H])CCCCN,C4H12N2,90.16620356,-0.9
CCC[C@H](C)S,CCC[C@H](C)S,C5H12S,104.218,2.2
[3H]C1CCCNC1,[3H]C1CCCNC1,C5H11N,87.15804928,0.8
C[C@H](COP)O,C[C@@H](O)COP,C3H9O2P,108.077,-0.3
C(CCO)CCBr,OCCCCCBr,C5H11BrO,167.046,1.4
C([C+]=O)Br,O=[C+]CBr,C2H2BrO+,121.941,0.5
CCCN(C)P,CCCN(C)P,C4H12NP,105.121,1
C(C(S)(S)S)O,OCC(S)(S)S,C2H6OS3,142.27,0.5
CCCSCSC,CCCSCSC,C5H12S2,136.285,2.5
CCCC(C)CO,CCCC(C)CO,C6H14O,102.177,1.8
C[C@H](CO)NP,C[C@H](CO)NP,C3H10NOP,107.093,-0.6
CSCSC=S,CSCSC=S,C3H6S3,138.282,2
CCCC[C+](C)C,CCCC[C+](C)C,C7H15+,99.197,3.7
CONCI,CONCI,C2H6INO,186.98,0.6
COSS,COSS,CH4OS2,96.176,1
C[C@@H](CN)NC,CN[C@@H](C)CN,C4H12N2,88.154,-0.7
C(CCF)CON,NOCCCCF,C4H10FNO,107.128,0.4
CC(C)OOCO,CC(C)OOCO,C4H10O3,106.121,0.3
C(COP)CBr,POCCCBr,C3H8BrOP,170.974,1.1
C(CS)OCO,OCOCCS,C3H8O2S,108.162,-0.2
