smiles,synth,logp,viscosity,enthalpy_vap,fitness
C1CN1,0.917989,0.77967,0.585576,0.924219,0.774947
CC(C)=O,0.965571,0.628286,0.669805,0.93929,0.771472
C1CO1,0.931598,0.615012,0.67683,0.966793,0.767573
CN1CC1,1,0.598831,0.63668,0.950011,0.755688
NN1CC1,0.790868,0.789831,0.596122,0.918696,0.755211
COC,0.898476,0.558129,0.686234,1,0.746001
CC(N)N,0.823097,0.757174,0.565577,0.914236,0.741079
NN1CCC1,0.825351,0.69483,0.59967,0.914348,0.739089
CCN,0.850179,0.607114,0.648119,0.944802,0.737367
COC(C)=O,0.947485,0.565223,0.654079,0.931483,0.737047
COCCOC,0.964437,0.589858,0.626139,0.907733,0.736522
NC1CC1,0.919819,0.629564,0.591515,0.936602,0.736128
CC(=O)O,0.996682,0.703244,0.546489,0.827402,0.732094
COCC(=O)N1CC1,0.956919,0.764103,0.513321,0.839316,0.728161
C1OCO1,0.85361,0.622207,0.605827,0.93066,0.726768
C1COC1,0.989744,0.555791,0.609981,0.947279,0.726658
CC(C)N,0.908767,0.548912,0.647808,0.952699,0.72523
CCOC,0.900954,0.5015,0.71281,0.972565,0.722666
NCN,0.687748,0.88654,0.543546,0.895038,0.722146
CNCCOC,0.885958,0.624247,0.585684,0.897264,0.720389
COCCN,0.804662,0.696692,0.565769,0.898114,0.719546
COCC(C)=O,0.82782,0.610967,0.617539,0.908951,0.718876
CON,0.668338,0.680583,0.642001,0.951027,0.717527
NCCN1CC1,0.904141,0.765793,0.504574,0.845928,0.717378
COCCN1CC1,0.978477,0.617428,0.560329,0.866786,0.716849
COCN,0.729518,0.683352,0.604887,0.913391,0.716568
CN(C)C,0.917801,0.532353,0.640991,0.939203,0.715202
CCC(C)=O,0.923208,0.540119,0.648765,0.895331,0.71519
COCC(=O)OC,0.91929,0.608777,0.573923,0.891285,0.71495
COCCC(C)=O,0.888343,0.611246,0.591208,0.875026,0.7148
O=C1CCC1,0.957736,0.600203,0.562867,0.898549,0.714317
